exporter_group,avg_emissions_kpi,avg_deforestation_kpi,avg_cost_per_tonne,total_volume,scaled_avg_emissions_kpi,scaled_avg_deforestation_kpi,risk_score,risk_level,kmeans_cluster,kmeans_risk_level,dbscan_cluster,hierarchical_cluster
AHMAD ZAKI RESOURCES BERHAD,5.311226210132474,0.0,1100.0,434.2557540444736,1.464788368181054,-0.45363341419557107,0.5860668342028335,High Risk,1,High Risk,0,2
UNKNOWN,2.126049074514751,0.015428269287318521,963.9530946970748,10607151.221274735,0.1536620522078425,0.9569465439407006,0.521601671785117,High Risk,1,High Risk,1,0
KEMINDO,4.6308562141339245,0.0,1082.8243753777213,18604.28118416925,1.2519123618423544,-0.45363341419557107,0.47069739944056943,High Risk,1,High Risk,0,2
UNILEVER,2.040971588924515,0.014242658502524829,1491.0213146265603,1141.052631578946,0.10216790475579644,0.8493109478365486,0.44439227217500665,High Risk,1,High Risk,1,0
TANIMAS,2.0329121415138927,0.013951481645185797,1098.0788800816426,95762.10484210523,0.09721534045659552,0.822857231356159,0.4295912347191117,High Risk,1,High Risk,1,0
SUNGAI BUDI,2.025155616787095,0.013585413527693208,930.8478044992905,104369.17243966862,0.09243647979039464,0.7895887860750209,0.41176289154326884,High Risk,1,High Risk,1,0
BEST INDUSTRY,2.021852146352797,0.013490195538583372,1041.7358138626546,644464.1907789472,0.09039746198820403,0.7809333606537586,0.40669326811208395,High Risk,1,High Risk,1,0
IFFCO,4.164154765550415,6.36342388370871e-05,986.1780480335036,231533.30016894336,1.0904475332923453,-0.44777086633475915,0.3858758670765092,High Risk,1,High Risk,0,2
ROYAL GOLDEN EAGLE,1.878000336375876,0.013396450111581484,943.9598655843661,8805622.55416533,-0.0006255784543716202,0.7724109983805283,0.3534591660255983,Medium Risk,1,High Risk,1,0
UNKNOWN AFFILIATION,1.979987514986703,0.01245266430851381,1520.329804679159,412436.94778619934,0.06436225695580701,0.6865678304020079,0.34935976947941466,Medium Risk,1,High Risk,1,0
DARMEX AGRO,2.046621197294637,0.011313161334225995,1166.4414295133117,113400.03899999989,0.1056317936293998,0.582816276011731,0.32420326951732614,Medium Risk,1,High Risk,1,0
KPN CORP,1.9816936702345815,0.011388260513341712,1043.2853624559457,1246821.445948112,0.06543042821138176,0.5896576411653282,0.30554954328384826,Medium Risk,1,High Risk,1,0
ASTRA AGRO LESTARI,1.9730750327690412,0.010972746345314253,1094.4636909137291,781600.2534587032,0.06002829741350708,0.551798869358975,0.28528084370701695,Medium Risk,1,High Risk,1,0
MAHKOTA,1.9585971104045816,0.010536063117507113,861.624136873179,303966.8361578947,0.05091824147887273,0.5119945464121485,0.26211146377957595,Medium Risk,1,High Risk,1,0
PERMATA HIJAU,1.8067205988052473,0.011262895764321367,1085.9836868795464,1642934.8328897546,-0.04742826470303779,0.5782369125983665,0.2391538985134093,Medium Risk,1,High Risk,1,0
SALIM GROUP,1.9081975852695263,0.008653725417225411,1024.5345398999536,63517.67075763156,0.01885353166244026,0.3402195745756484,0.1660533105595325,Medium Risk,1,High Risk,1,0
INCASI RAYA (GUNAS),1.8977967574264762,0.00816466862687028,996.944089626798,190280.7933603344,0.012167278130307196,0.2955376502091737,0.1419633690236477,Medium Risk,1,High Risk,1,0
PTPN III,1.8799304688932597,0.007924563181806087,975.323322885158,262113.68734137694,0.0006255784543720346,0.2735928504713566,0.12565659206987792,Medium Risk,1,High Risk,1,0
OLAM,1.9334895347693357,0.0071969969413164265,1346.1975964914525,7020.57,0.03501339945270271,0.20706390043172845,0.11382009437811001,Medium Risk,1,High Risk,1,0
CARGILL,1.9274755783108715,0.00712199928889922,977.4365774451541,76506.34379687306,0.031183544099267352,0.2002033528309214,0.10860204870850385,Medium Risk,1,High Risk,1,0
CITRA BORNEO INDAH (CBI),1.853369656344181,0.006243001270398282,990.9335750690389,417567.34342105256,-0.01666584965266555,0.1197572944556883,0.04582194920484871,Medium Risk,1,High Risk,1,0
MEWAH,1.8196961164508856,0.006039751322951524,1077.9902937104682,183514.34128853583,-0.03882061382111815,0.101145819189413,0.025290167160583632,Medium Risk,1,High Risk,1,0
MUSIM MAS,1.6155818332823837,0.006407704713403317,1044.1965079423226,7019478.043166885,-0.17905257156878335,0.1348363322517476,-0.03527765116404315,Medium Risk,1,High Risk,1,0
