volume,risk_weight,max_share,min_supplier,status,baseline_cost,optimized_cost,baseline_emissions,optimized_emissions,baseline_deforestation,optimized_deforestation,supplier_count,total_volume_sourced,timestamp
50000,0.0,0.3,3,completed,1014.0376449367672,995.1092117878504,1.683494291105607,1.8414339803672666,0.008206495222097186,0.01095305080220514,4,50000.0,2026-01-09T19:56:58.679752
50000,0.0,0.3,5,completed,1014.0376449367672,994.8135234837237,1.683494291105607,1.8399442049179502,0.008206495222097186,0.010920031970075683,5,50000.0,2026-01-09T19:57:20.178723
50000,0.0,0.3,7,completed,1014.0376449367672,992.2117389591034,1.683494291105607,1.8287902500052116,0.008206495222097186,0.010863635471731858,7,50000.0,2026-01-09T19:57:41.873028
50000,0.0,0.3,9,completed,1014.0376449367672,991.518964370842,1.683494291105607,1.82304119734992,0.008206495222097186,0.010900865196963412,9,50000.0,2026-01-09T19:58:03.621051
50000,0.0,0.3,11,completed,1014.0376449367672,990.9826819237982,1.683494291105607,1.8341972702923697,0.008206495222097186,0.010948267729441866,11,50000.0,2026-01-09T19:58:25.517904
50000,0.0,0.4,3,completed,1014.0376449367672,972.0044857010407,1.683494291105607,1.9247361310127273,0.008206495222097186,0.012811428702240621,3,50000.0,2026-01-09T19:58:47.062168
50000,0.0,0.4,5,completed,1014.0376449367672,972.7201415022118,1.683494291105607,1.9220436403208356,0.008206495222097186,0.012726920489545934,5,50000.0,2026-01-09T19:59:08.546986
50000,0.0,0.4,7,completed,1014.0376449367672,971.1297010828896,1.683494291105607,1.9096869701655221,0.008206495222097186,0.012619034610636879,7,50000.0,2026-01-09T19:59:30.182182
50000,0.0,0.4,9,completed,1014.0376449367672,971.448270599926,1.683494291105607,1.9027352022676558,0.008206495222097186,0.0126047749553032,9,50000.0,2026-01-09T19:59:51.965378
50000,0.0,0.4,11,completed,1014.0376449367672,971.9233322581799,1.683494291105607,1.91268855996753,0.008206495222097186,0.012600688107216427,11,50000.0,2026-01-09T20:00:13.895382
50000,0.0,0.5,3,completed,1014.0376449367672,954.9588465643,1.683494291105607,1.9994005204143783,0.008206495222097186,0.01434247224546817,3,50000.0,2026-01-09T20:00:35.514629
50000,0.0,0.5,5,completed,1014.0376449367672,957.6792352126301,1.683494291105607,1.9914596596606169,0.008206495222097186,0.014118189124809919,5,50000.0,2026-01-09T20:00:57.514148
50000,0.0,0.5,7,completed,1014.0376449367672,958.0935276404668,1.683494291105607,1.9738546194434334,0.008206495222097186,0.013870528337937303,7,50000.0,2026-01-09T20:01:19.506603
50000,0.0,0.5,9,completed,1014.0376449367672,960.4168300046624,1.683494291105607,1.9616544814836974,0.008206495222097186,0.013716493774640062,9,50000.0,2026-01-09T20:01:41.734787
50000,0.0,0.5,11,completed,1014.0376449367672,962.8966245100756,1.683494291105607,1.9663594691217021,0.008206495222097186,0.013572632018589726,11,50000.0,2026-01-09T20:02:03.597845
50000,0.0,0.6,3,completed,1014.0376449367672,956.9581694755709,1.683494291105607,2.0242053942282663,0.008206495222097186,0.014545654163041877,3,50000.0,2026-01-09T20:02:25.351297
50000,0.0,0.6,5,completed,1014.0376449367672,959.678558123901,1.683494291105607,2.0162645334745046,0.008206495222097186,0.01432137104238363,5,50000.0,2026-01-09T20:02:46.987284
50000,0.0,0.6,7,completed,1014.0376449367672,960.0928505517377,1.683494291105607,1.9986594932573207,0.008206495222097186,0.014073710255511011,7,50000.0,2026-01-09T20:03:08.772323
50000,0.0,0.6,9,completed,1014.0376449367672,962.4161529159333,1.683494291105607,1.9864593552975847,0.008206495222097186,0.01391967569221377,9,50000.0,2026-01-09T20:03:30.336328
50000,0.0,0.6,11,completed,1014.0376449367672,964.8959474213465,1.683494291105607,1.9911643429355894,0.008206495222097186,0.013775813936163438,11,50000.0,2026-01-09T20:03:52.056251
50000,0.0,0.7,3,completed,1014.0376449367672,958.9574923868416,1.683494291105607,2.0490102680421534,0.008206495222097186,0.014748836080615588,3,50000.0,2026-01-09T20:04:13.750170
50000,0.0,0.7,5,completed,1014.0376449367672,961.6778810351719,1.683494291105607,2.041069407288392,0.008206495222097186,0.01452455295995734,5,50000.0,2026-01-09T20:04:35.320037
50000,0.0,0.7,7,completed,1014.0376449367672,962.0921734630089,1.683494291105607,2.0234643670712087,0.008206495222097186,0.014276892173084723,7,50000.0,2026-01-09T20:04:56.910564
